N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"71,500","1,800",-2.46%,100,"4,268,395","5,969,783",52.16,"20,528,165",13.86,9.99,
2,LG에너지솔루션,"497,500","99,500",-16.67%,500,"1,164,150","234,000",5.49,"15,511,786",337.29,N/A,
3,SK하이닉스,"113,500","4,000",-3.40%,"5,000","826,283","728,002",49.67,"6,405,384",10.26,9.53,
4,삼성전자우,"65,700","1,100",-1.65%,100,"540,637","822,887",74.93,"1,508,591",12.74,N/A,
5,NAVER,"303,500","9,500",-3.04%,100,"497,889","164,049",55.21,"876,565",3.00,15.22,
6,삼성바이오로직스,"713,000","44,000",-5.81%,"2,500","471,756","66,165",10.72,"156,289",114.93,N/A,
7,LG화학,"610,000","54,000",-8.13%,"5,000","430,613","70,592",49.02,"834,267",15.90,2.93,
8,삼성SDI,"594,000","39,000",-6.16%,"5,000","408,461","68,765",45.00,"570,402",37.26,4.54,
9,현대차,"186,500","3,500",-1.84%,"5,000","398,491","213,668",28.13,"1,005,664",9.45,2.04,
10,카카오,"82,800","4,100",-4.72%,100,"369,210","445,906",28.82,"3,602,309",32.60,2.70,
11,기아,"79,000","1,300",+1.67%,"5,000","320,237","405,363",35.02,"2,845,140",7.16,5.05,
12,KB금융,"58,000","1,100",-1.86%,"5,000","241,169","415,808",71.10,"1,332,235",5.54,8.53,
13,POSCO,"257,500","12,000",-4.45%,"5,000","224,506","87,187",52.68,"432,939",3.86,3.61,
14,현대모비스,"228,000","1,000",-0.44%,"5,000","215,627","94,573",34.30,"303,345",9.18,4.66,
15,셀트리온,"148,500","7,500",-4.81%,"1,000","204,851","137,947",20.53,"997,179",37.79,16.68,
16,LG전자,"124,500","4,500",-3.49%,"5,000","203,742","163,648",28.82,"1,518,064",17.96,13.23,
17,SK이노베이션,"215,500","16,500",-7.11%,"5,000","199,263","92,466",24.08,"1,261,699","-6,338.24",-13.58,
18,신한지주,"37,950",350,-0.91%,"5,000","196,050","516,600",61.42,"1,343,254",5.04,8.20,
19,삼성물산,"102,000","4,500",-4.23%,100,"190,625","186,887",15.53,"617,972",11.61,3.81,
20,카카오뱅크,"39,700",850,-2.10%,"5,000","188,638","475,159",15.07,"2,272,211",128.48,5.08,
21,카카오페이,"129,000","8,000",-5.84%,500,"170,129","131,883",42.71,"383,003",-641.79,-17.97,
22,SK,"211,000","8,500",-3.87%,200,"156,455","74,149",21.74,"257,611",24.66,1.11,
23,LG생활건강,"950,000","9,000",-0.94%,"5,000","148,373","15,618",42.56,"78,319",19.77,17.92,
24,하나금융지주,"44,100",300,-0.68%,"5,000","132,407","300,242",69.30,"1,272,291",4.12,8.96,
25,크래프톤,"264,500","12,000",-4.34%,100,"129,531","48,972",29.89,"686,272",20.73,61.86,
26,한국전력,"20,150",600,-2.89%,"5,000","129,356","641,964",14.38,"1,741,397",-11.87,2.91,
27,삼성전기,"172,500","3,000",-1.71%,"5,000","128,847","74,694",30.08,"822,618",13.26,10.92,
28,SK바이오사이언스,"161,000","8,000",-4.73%,500,"123,165","76,500",5.69,"656,362",61.99,13.25,
29,SK텔레콤,"55,500","1,100",-1.94%,100,"121,452","218,833",44.84,"848,336",8.61,6.44,
30,삼성생명,"60,100","1,800",-2.91%,500,"120,200","200,000",12.62,"366,514",7.68,3.53,
31,엔씨소프트,"536,000","26,000",-4.63%,500,"117,674","21,954",43.50,"214,686",33.09,20.83,
32,LG,"72,500","2,500",-3.33%,"5,000","114,043","157,301",36.17,"438,866",4.78,7.50,
33,HMM,"21,950",800,-3.52%,"5,000","107,344","489,039",10.53,"2,598,411",2.76,8.93,
34,삼성에스디에스,"138,500","7,000",-4.81%,500,"107,168","77,378",11.31,"155,941",15.77,6.71,
35,KT&G,"77,200","1,500",-1.91%,"5,000","105,990","137,292",35.92,"629,599",8.90,13.22,
36,우리금융지주,"14,400",50,+0.35%,"5,000","104,841","728,061",31.64,"3,419,731",4.40,5.87,
37,하이브,"242,500","9,000",-3.58%,500,"100,282","41,353",16.24,"290,899",86.27,12.52,
38,S-Oil,"85,700","3,500",-3.92%,"2,500","96,483","112,583",77.94,"394,422",8.25,-13.07,
39,고려아연,"502,000","19,000",-3.65%,"5,000","94,727","18,870",18.23,"61,225",12.55,8.37,
40,삼성화재,"199,500","8,000",-3.86%,500,"94,513","47,375",48.39,"110,730",8.62,4.96,
41,대한항공,"26,900",300,-1.10%,"5,000","93,564","347,821",11.78,"1,291,102",12.64,-7.22,
42,두산중공업,"17,900",0,0.00%,"5,000","93,478","522,222",7.39,"3,596,010",53.12,-37.20,
43,넷마블,"108,500","7,000",-6.06%,100,"93,260","85,954",22.88,"500,920",40.13,6.35,
44,SK아이이테크놀로지,"126,000","11,500",-8.36%,"1,000","89,835","71,298",10.92,"590,773",82.84,11.00,
45,아모레퍼시픽,"149,500","4,000",-2.61%,500,"87,447","58,493",29.91,"208,908",57.66,0.78,
46,포스코케미칼,"108,500","8,000",-6.87%,500,"84,048","77,463",6.45,"718,676",60.58,2.96,
47,현대중공업,"94,100","2,500",-2.59%,"5,000","83,536","88,773",2.25,"152,407",-10.27,-7.86,
48,KT,"30,900",500,-1.59%,"5,000","80,684","261,112",38.83,"931,481",7.89,4.76,
